陳情內容,公務員輸入,擬答內容,,反面案例原因
我住在桃園區夜市附近，每天晚上10點過後攤販還在大聲播放音樂、叫賣，吵到我沒辦法睡覺，小孩隔天上課精神都很差，這樣有辦法處理嗎？,環境保護局：夜市噪音屬管制範圍，已安排稽查人員本週夜間前往量測。,"有關您反映夜市噪音影響安寧乙案，本府說明如下：

夜市噪音問題涉及多個單位，建議您撥打165警政署反詐騙專線或至轄區派出所報案，由警察機關依法處理擾亂安寧秩序之情事，或洽市場處了解夜市管理規定。如仍有疑問，歡迎再次來信。

謝謝您的指教　敬祝　安康
桃園市政府　敬上",,推給不相關單位（165反詐騙專線明顯錯誤），環保局有噪音管制職權卻未受理，回覆方向完全錯誤
我家小孩就讀桃園區某國小，最近幾週午餐品質很差，菜量變少、肉類比例下降，有幾次甚至只有一道菜，而且聽說廠商換了但學校沒有通知家長。請教育局關注。,教育局：已函請學校說明午餐供應情形，確認廠商更換程序及契約規格，要求業者依合約標準落實供餐。,"有關您反映國小午餐品質問題乙案，經交由本府教育局處理說明如下：

本局已了解相關情形，已要求業者改善，後續將持續關注，如有需要將再通知您。

謝謝您的指教　敬祝　安康
桃園市政府教育局　敬上",,回覆過於簡略，未說明已採取哪些具體行動、廠商是否違約、家長為何未被通知等核心問題，缺乏實質內容
大溪區一條社區巷弄內有幾戶人家把自己的車停在消防通道上，已經嚴重影響通行，萬一發生火災消防車進不去怎麼辦？我跟鄰居反映過都沒用，請市府介入。,消防局：占用消防通道屬違規，已通報警察局協助開單，並請里長協助張貼告示提醒居民。,"有關您反映大溪區巷弄消防通道遭占用問題乙案，本府說明如下：

消防通道為重要之公共安全設施，占用者應立即自行移除車輛。請注意，若因您個人行為導致消防車無法進入造成損害，須自負法律責任。本府已知悉您的陳情，將轉請相關單位參辦。

謝謝您的指教　敬祝　安康
桃園市政府　敬上",,誤將警告對象指向陳情人而非違規停車者，語意不清且造成誤解，未說明具體處理行動
我是桃園區某里的里長，想詢問今年敬老活動補助的申請截止日期和所需文件，之前打電話給民政局一直占線，所以改用市政信箱詢問。,民政局：今年敬老活動補助申請截止為6月30日，需備妥活動計畫書、里民大會決議紀錄及經費概算表，可線上或臨櫃申請。,"有關您反映里內公共環境問題乙案，本府說明如下：

感謝市民來信，建議您可逕向環境部或內政部相關單位申訴，本府將轉達您的意見。如有其他問題，歡迎再次來信。

謝謝您的指教　敬祝　安康
桃園市政府民政局　敬上",,完全未回應詢問內容（補助截止日及文件），套用錯誤範本且指引完全不相關，里長提問被當成環境陳情處理
中壢區一條小巷弄的水溝已經連續兩個月嚴重堵塞，每次下雨污水都溢出來，臭氣沖天，我和鄰居都有小孩，非常擔心衛生問題，請市府儘快清通。,工務局：已確認為市政排水設施，排定本月底前完成清淤作業。,"有關您反映中壢區水溝堵塞問題乙案，本府說明如下：

本府已收到您的陳情，將請相關單位於適當時機安排處理，請耐心等候，感謝您對市容維護的關心。

謝謝您的指教　敬祝　安康
桃園市政府　敬上",,「適當時機」毫無具體時程承諾，公務員已提供明確排程卻未採用，回覆敷衍且未表達對民眾衛生疑慮的重視
我是外籍配偶，老公去年過世，我想知道我可不可以繼續在台灣居留，手上有居留證但快到期了，也不知道小孩的戶籍要怎麼處理，請問我該找哪個單位？,民政局：外籍配偶喪偶後仍可依法申請繼續居留，需向移民署申請；子女戶籍可向戶政事務所辦理，建議儘早處理以免逾期。,"有關您詢問居留及戶籍相關問題乙案，本府說明如下：

您所詢問之居留資格涉及入出國及移民法規，非屬本府管轄範疇，請逕向內政部移民署洽詢。戶籍問題請至戶政事務所辦理。如有其他問題，歡迎再次來信。

謝謝您的指教　敬祝　安康
桃園市政府民政局　敬上",,雖有指引方向但語氣冷淡，未提供聯繫資訊或說明辦理期限的急迫性，對處於困境的外籍配偶缺乏同理心
我媽媽71歲，上個月在桃園區一間私人診所打了流感疫苗，回家後手臂紅腫疼痛超過一週，我帶她去大醫院看診，醫生說可能是施打後感染，我想向市府投訴這間診所。,衛生局：疫苗施打後感染屬嚴重不良事件，已要求診所提供施打紀錄及疫苗批號，並安排稽查人員前往確認施打流程是否符合規範，如有疏失將依醫療法裁處。,"有關您反映疫苗施打後感染問題乙案，衛生局說明如下：

感謝您的來信，疫苗施打後身體出現不適屬個人體質差異，大多數情況屬正常免疫反應，請您放心。如症狀持續，建議持續就醫追蹤治療。如您對診所服務有疑慮，可向診所提出意見，或向醫師公會申訴。本局無法介入個別醫療行為之判斷，謝謝您的理解。

謝謝您的指教　敬祝　安康
桃園市政府衛生局　敬上",,將施打後感染輕描淡寫為「個人體質差異」，未告知已展開調查及要求診所提供施打紀錄，未正視可能的醫療疏失
桃園區某大型百貨公司前面的廣場，每到週末都有宗教團體在那裡設攤舉辦活動，用擴音器傳教，音量非常大，附近的住家和店家都受不了，已經持續好幾個月了。,環境保護局：已安排稽查人員於本週末赴現場量測噪音，若超過管制標準將依噪音管制法裁處，並要求活動主辦單位降低音量。,"有關您反映宗教活動噪音問題乙案，本府說明如下：

宗教活動屬憲法保障之宗教自由範疇，本府尊重各宗教團體之傳教行為，請市民以包容態度面對不同信仰文化。如您對音量感到困擾，可考慮在週末期間外出或關窗減少影響，感謝您對多元文化的包容。

謝謝您的指教　敬祝　安康
桃園市政府　敬上",,以宗教自由為由規避噪音管制責任，建議市民「外出或關窗」明顯不當，未告知已安排稽查，將噪音問題與宗教自由混淆
我在龍潭區做生意，三個月前市府的道路拓寬工程施工時，把我店門前挖開之後就一直放著沒回填，現在店門口坑坑洞洞，客人根本不敢進來，生意掉了好幾成，這樣可以求償嗎？,工務局：已確認施工進度延遲，安排承包商一週內完成回填修復；關於營業損失，可依國家賠償法提出申請，本局將協助提供施工相關文件。,"有關您反映龍潭區道路工程影響店面經營乙案，工務局說明如下：

道路工程施工期間對周邊商家造成不便，實屬不得已，敬請見諒。工程時程受多種因素影響，無法準確預估完工日期。至於您所提損失求償，工程期間之不便屬市民配合公共建設之社會責任，不屬國家賠償範疇，建議您耐心等候工程完工，屆時店面環境將更為改善，感謝您的配合。

謝謝您的指教　敬祝　安康
桃園市政府工務局　敬上",,錯誤表示損失不屬國家賠償範疇，未告知一週內回填的具體承諾，以「社會責任」要求市民承擔損失，態度高壓且缺乏同理心
觀音區海灘上出現大量魚類死亡，屍體堆積在岸邊，氣味非常難聞，不知道是什麼原因造成的，請市府派人來查看並清理。,環境保護局：已派員現場勘查並採樣送驗，初步研判可能與近日水溫驟變或海流變化有關，清理作業已安排近日進行，採樣結果約5天後出爐。,"有關您反映觀音區海灘大量魚類死亡問題乙案，本府說明如下：

魚類死亡屬自然現象，每年不同季節均可能發生，與海洋生態變化有關，請市民勿過度擔心。本府已收悉您的反映，岸邊清理作業將依例行維護安排辦理，感謝您的關心。

謝謝您的指教　敬祝　安康
桃園市政府　敬上",,以「自然現象」輕描淡寫，未告知已採樣送驗及調查進度，清理時程含糊，未正視可能的污染疑慮
